Flight#|Departure Date/Time|Origin|Destination
F00000|03-24-17 15:00|LAX|TTN
F00001|04-18-17 09:00|ATL|ORL
F00002|03-15-17 03:00|LGA|CLT
F00003|03-12-17 12:00|PHX|JFK
F00001|04-18-17 09:00|ATL|ORL
F00005|03-14-17 01:00|MPB|CLT
F00006|03-29-17 16:00|ATL|DFW
F00007|03-27-17 15:00|HOU|ORD
F00008|03-03-17 17:00|SFO|JFK
F00009|04-02-17 22:00|DFW|PHL
F00010|03-18-17 23:00|MIA|BOS
F00011|03-16-17 01:00|MCO|CHI
F00012|04-11-17 05:00|IAD|MCO
F00013|04-21-17 02:00|LKE|SFO
F00014|03-28-17 23:00|BOS|MPB
F00015|04-07-17 07:00|CGX|MPB
F00016|04-17-17 23:00|MIA|HOU
F00017|04-23-17 23:00|JFK|MDW
F00018|04-08-17 19:00|SEA|MDW
F00019|04-21-17 00:00|JFK|SFO
F00020|04-11-17 00:00|PHX|TPA
F00021|04-19-17 14:00|ATL|TPA
F00022|03-04-17 18:00|CGX|MIA
F00023|04-02-17 05:00|DFW|DCA
F00024|03-28-17 18:00|HOU|BOS
F00025|04-10-17 10:00|IAH|MCO
F00026|03-19-17 07:00|NYC|BOS
F00027|03-24-17 22:00|JFK|PHX
F00028|03-07-17 00:00|BOS|PHL
F00029|04-05-17 21:00|LKE|SEA
F00030|04-20-17 01:00|BOS|ORL
F00031|03-04-17 23:00|CHI|TPA
F00032|03-17-17 12:00|CGX|MDW
F00033|04-05-17 06:00|WAS|ATL
F00034|04-25-17 13:00|DCA|ATL
F00035|03-13-17 10:00|TPA|AUS
F00017|04-23-17 23:00|JFK|MDW
F00037|03-02-17 03:00|BOS|PHX
F00018|04-08-17 19:00|SEA|MDW
F00039|03-24-17 06:00|WAS|LAX
F00040|04-11-17 14:00|ATL|CHI
F00041|03-17-17 17:00|WAS|TPA
F00042|03-11-17 00:00|LGA|ATL
F00043|03-06-17 01:00|LKE|NYC
F00044|03-18-17 15:00|IAH|WAS
F00045|04-28-17 21:00|CLT|PHL
F00046|03-18-17 15:00|TPA|MCO
F00047|03-06-17 07:00|MDW|JFK
F00048|04-03-17 00:00|DFW|MDW
F00049|03-02-17 15:00|DFW|SEA
F00050|03-08-17 20:00|ORD|LAX
F00051|03-23-17 13:00|JFK|WAS
F00052|03-08-17 20:00|AUS|AUS
F00053|04-19-17 21:00|SFO|ORL
F00054|04-18-17 15:00|SFO|CHI
F00055|03-12-17 10:00|JFK|MCO
F00056|04-29-17 17:00|IAH|WAS
F00057|04-07-17 08:00|CHI|TTN
F00058|04-03-17 04:00|TPA|HOU
F00059|04-10-17 19:00|PHX|IAD
F00060|03-04-17 06:00|ATL|IAD
F00061|04-05-17 09:00|CLT|PHX
F00062|04-02-17 05:00|DCA|IAD
F00063|04-26-17 14:00|BOS|TTN
F00064|04-21-17 07:00|SEA|CLT
F00065|03-02-17 05:00|CLT|PHX
F00066|04-12-17 22:00|AUS|MIA
F00067|04-14-17 21:00|TTN|LKE
F00068|03-27-17 02:00|SEA|SFO
F00069|03-18-17 17:00|ATL|ATL
F00007|03-27-17 15:00|HOU|ORD
F00071|03-31-17 06:00|LAX|BOS
F00072|03-19-17 18:00|ORD|IAD
F00073|04-15-17 05:00|ORL|LAX
F00074|03-17-17 15:00|LGA|CGX
F00075|03-18-17 10:00|PHL|IAD
F00076|04-03-17 14:00|DCA|SEA
F00077|03-01-17 18:00|MPB|PHX
F00078|03-21-17 06:00|IAH|IAH
F00079|04-22-17 05:00|ORD|BOS
F00080|03-03-17 11:00|PHX|MCO
F00081|03-15-17 12:00|IAH|TTN
F00082|03-30-17 02:00|ORD|LGA
F00083|04-10-17 17:00|ORL|ORL
F00084|03-12-17 21:00|HOU|MPB
F00085|03-19-17 11:00|NYC|AUS
F00043|03-06-17 01:00|LKE|NYC
F00049|03-02-17 15:00|DFW|SEA
F00088|03-13-17 08:00|ORD|AUS
F00089|03-27-17 05:00|HOU|ORL
F00090|03-29-17 07:00|LKE|CLT
F00091|04-17-17 21:00|TPA|LGA
F00092|04-26-17 05:00|ORL|LGA
F00093|03-15-17 04:00|SFO|BOS
F00094|03-19-17 11:00|LGA|LGA
F00095|04-10-17 09:00|SFO|ATL
F00096|04-26-17 17:00|ORL|MPB
F00024|03-28-17 18:00|HOU|BOS
F00098|04-06-17 01:00|CLT|ORD
F00099|03-31-17 13:00|WAS|BOS
F00100|04-03-17 05:00|TTN|CHI
F00101|03-10-17 10:00|ORD|CGX
F00102|03-15-17 09:00|TPA|DCA
F00103|03-11-17 03:00|CGX|ORL
F00104|03-17-17 08:00|NYC|CLT
F00105|03-21-17 22:00|PHL|ATL
F00091|04-17-17 21:00|TPA|LGA
F00107|03-30-17 10:00|DFW|LKE
F00108|04-27-17 03:00|TPA|MCO
F00017|04-23-17 23:00|JFK|MDW
F00110|04-05-17 00:00|LAX|ATL
F00111|03-31-17 06:00|AUS|JFK
F00112|03-30-17 10:00|PHL|SEA
F00113|03-28-17 18:00|ORD|ATL
F00114|03-09-17 12:00|PHL|NYC
F00115|03-26-17 07:00|NYC|CGX
F00116|03-27-17 01:00|ORD|CLT
F00117|03-12-17 06:00|IAD|MCO
F00118|03-08-17 06:00|LKE|ORL
F00119|03-29-17 08:00|ATL|MDW
F00120|04-03-17 11:00|BOS|BOS
F00121|03-03-17 16:00|DFW|HOU
F00122|03-01-17 03:00|MCO|PHL
F00123|04-15-17 22:00|CLT|BOS
F00124|03-19-17 06:00|MIA|ORD
F00125|03-04-17 09:00|CLT|SEA
F00126|04-26-17 06:00|TPA|MPB
F00127|03-22-17 16:00|AUS|LGA
F00128|03-02-17 11:00|AUS|SFO
F00129|04-01-17 23:00|CLT|HOU
F00130|04-12-17 08:00|MDW|IAH
F00131|04-07-17 12:00|DCA|SEA
F00132|03-07-17 19:00|TPA|LKE
F00133|03-07-17 06:00|NYC|LAX
F00134|03-27-17 20:00|TPA|SFO
F00135|04-18-17 06:00|PHX|SFO
F00136|03-27-17 18:00|ATL|BOS
F00137|03-12-17 21:00|PHL|IAD
F00138|04-24-17 15:00|ATL|AUS
F00139|03-26-17 07:00|MCO|LGA
F00140|03-02-17 17:00|TTN|PHX
F00141|04-04-17 18:00|AUS|IAH
F00142|04-18-17 18:00|CLT|CLT
F00143|04-16-17 22:00|MCO|ORL
F00144|03-25-17 04:00|ORL|JFK
F00145|03-05-17 06:00|DCA|JFK
F00146|04-04-17 05:00|MPB|MCO
F00147|03-23-17 10:00|PHX|MCO
F00148|03-07-17 16:00|CLT|ORL
F00149|03-26-17 21:00|CGX|CGX
F00150|04-21-17 10:00|ATL|ATL
F00151|03-24-17 17:00|CLT|LAX
F00152|04-02-17 20:00|DFW|PHX
F00153|04-06-17 07:00|PHL|MPB
F00154|03-23-17 15:00|TTN|LKE
F00155|03-02-17 15:00|CGX|ORL
F00156|04-01-17 18:00|ATL|MPB
F00157|03-17-17 23:00|JFK|MIA
F00158|04-17-17 00:00|NYC|NYC
F00159|03-16-17 18:00|SEA|TPA
F00160|03-18-17 18:00|TPA|TPA
F00161|04-15-17 20:00|BOS|CHI
F00162|04-24-17 07:00|LGA|ATL
F00163|03-19-17 20:00|WAS|MPB
F00164|04-27-17 10:00|PHX|DFW
F00165|04-06-17 12:00|SFO|PHX
F00166|03-18-17 17:00|DCA|MIA
F00167|04-10-17 14:00|LAX|ORL
F00168|03-05-17 07:00|MIA|TTN
F00169|03-28-17 06:00|ORD|ORD
F00170|04-10-17 00:00|TPA|BOS
F00171|04-22-17 17:00|CGX|MDW
F00172|04-12-17 06:00|JFK|DCA
